Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Catalyst Academy                  ,N/A,N/A,Nerul,"B-4, F-2, Devdarshan Apt., Sector-11, Nerul East. Near: Bus Depot",Delhi, 400706,India,https://www.myprivatetutor.com/userfiles/centers/center14632241811264.jpg,"Biology, Chemistry, Mathematics, Physics, CET, Medical Entrance Exams, IIT JEE Mains","We have students from Apeejay Nerul, DPS Nerul, DAV Nerul, Bal Bharti Khargar & Jaipuria Sanpada studying with us for last 6 years. "
Schoolpage Tutorials                  ,N/A,N/A,Airoli,Navi Mumbai 400705,Delhi, 400705,India,https://www.myprivatetutor.com/userfiles/centers/center1438419038.jpg,"Chemistry, English, Mathematics, Physics, French, German, Hindi, Spanish","School Page is the outcome of a long quest to combine the latest in pedagogy, through its unique e-Tutoring (STS) methodology, with the best in technology, which makes it available to students from all over the world. While there are large numbers of great teachers available throughout the world, great teaching and great tutoring are very different in many ways and require very different approaches. There are also many differences between classroom teaching and off-school tutoring methodologies. With this in mind, the SchoolPage team worked with other global academics to create the unique SchoolPage e-Tutoring System (the STS), which is based on Richard E. Mayers Cognitive Theory of Multimedia Learning."
Mahatma Education Society                  ,N/A,N/A,New Panvel,"Sector 8, New Panvel (W),
Navi Mumbai, Dist. Raigad.",Delhi, 400067,India,,"Badminton, Cricket, Gymnastics, Swimming, Summer Camps","

		Safe and friendly environment. 

		Experienced teachers. 

		Personal care is taken. 

		Advanced educational curriculum.
"
Mindbend                  ,N/A,N/A,New Panvel,"122, 4D Krishna, Kalpataru Riverside, Panvel, Navi Mumbai",Delhi, 410206,India,,Summer Camps,"
	Mindbend conducts various programs such as In school, Fun camps and science clubs, which are well researched and developed by ardent professionals. We believe that real learning occurs when a student moves from theory to practice which is missing in our present education system. We wish to fill up the gap between theory and practical by providing add-on programs that will supplement the current educational curriculum and can be incorporated immediately."
Advays Classes                  ,N/A,N/A,Airoli,"Airoli, Near Railway Station, Navi Mumbai, 400708",Delhi, 400708,India,https://www.myprivatetutor.com/userfiles/centers/center147247543416670.png,"Bank Clerical, Bank PO, CWE Coaching, IBPS, NDA, RBI Exam, SBI Exam, SSB Exam, SSC Exams, UGC Exams, CAT Exam, CMAT, IBSAT, IIFT, MBA Entrance, MICA, NMAT, SNAP, UGC Net","
	Advays Classes is located in Airoli, Navi Mumbai. We are specially catering in Competitive Exams and Test Preparation."
Engineers Destination                  ,N/A,N/A,Kamothe,"Shop No 4, Vikram Complex, Plot No 1, Near Sushama Patil School, Sector 10, Union Bank Road, Kamothe, Navi Mumbai, 410209",Delhi, 410209,India,,"Ethical Hacking, Hardware Training, Networking, RHCE Training, Vmware","
	Engineers Destination is located in the city of Navi Mumbai and it is pioneer institute for Technical and Non Technical Coaching. It is best known for its best guidance and affordable education services."
Leo Coaching Classes                  ,N/A,N/A,Kopar Khairane,"Singham Niwas, Ss-iii/1000, Sector-5, Kopar Khairane, Navi Mumbai, 400709",Delhi, 400709,India,,"Chemistry, English, Mathematics, Physics","
	Leo Coaching Classes is situated in the city of Navi Mumbai. We prepare the student for the examination who are catering in school level subject and segment."
Mtg Classes                  ,N/A,N/A,Juinagar,"Juinagar, Navi Mumbai, 400709",Delhi, 400709,India,,"Accountancy, Chemistry, Commerce Subjects, Mathematics, Physics","
	MTG Classes is a reputed tutorial and coaching based in the city of Navi Mumbai for school level segment and subjects and specializing in examinations preparation and related based topics. We provide complete preparation for 2016 exams."
Sailaja Aluri Institute                  ,N/A,N/A,Kopar Khairane,"A - 502, New Krishna Chs, Sector -14, Plot No 17, 
Kopar Khairane, Navi Mumbai, 400 709",Delhi, 400709,India,,"Chemistry, English, Mathematics, Physics, Social Studies","A - 502, New Krishna Chs, Sector -14, Plot No 17, 
Kopar Khairane, Navi Mumbai, 400 709"
Maac                  ,N/A,N/A,Kharghar,"Maac Kharghar, 
Shop No 57
Patel Heritage Chs
Sector 7
Plot No 15&17
Kharghar
Navi Mumbai",Delhi, 410210,India,,"2D Animation, 3D Animation, 3D Max / Maya, AutoCAD  Training, Multimedia","
	MAAC is the ultimate destination for animation & VFX education brand. The center through its excellent network of professionals has helped in preparing students for a bright career in animation, VFX, gaming, web and graphics design. Arena House has an excellent track record in providing quality and cost effective education through its specialized faculties and a professional environment leading to job placement in top-notch industries."
Agrima Rocks                  ,N/A,N/A,Airoli,"Agrima Rocks, Shop 5, Goodwill Harmony, Sector 19, Airoli, Navi Mumbai",Delhi, 400708,India,https://www.myprivatetutor.com/userfiles/centers/center1462173943.png,"Flute, Guitar, Keyboard, Piano, Singing","
	Opened in year 2015, willing to celebrate centuries of years. We are equipped with latest infrastructure and supervised and continuously monitored and enhanced by enthusiastic team of technocrats, experienced experts and managers."
The Wave Classes                  ,N/A,N/A,Nerul,"Ambika Srushti, Plot No. 92 Seawoods West , Navi Mumbai",Delhi, 400706,India,,Chemistry,"
	The Wave Classes is reputed institute which provides education for school level subject and segment and IIT-JEE and cet."
Dhamal Kids Camp                  ,N/A,N/A,Vashi,"F-11, 3/4, Sagar C H S, Sector 29, Vashi, Navi Mumbai",Delhi, 400703,India,,Robotics,"
	Dhamal Kids Camp conducts activities and workshops that are specially designed to help children enhance their creativity in various innovative manner. They are introduce and trained various fields such as science,crafts,origami, mountain climbing amidst of fun activities and games. All our activities are conducted under supervision of experts in the specific field."
P. R Tutors                  ,N/A,N/A,Kopar Khairane,"Rh. No 88,Sec-16",Delhi, 400709,India,,"Mathematics, Physics","
	P. R Tutors has been setup by academicians who are extremely passionate about education and believe in more than just teaching. We are dedicate to improve the quality of education currently being imparted to student who are about to choose their future careers."
Vibrant Technologies & Computers                  ,N/A,N/A,Vashi,"K 1/4, Opp. Vaidehi Hotel, Sector-15/16 Market, Vashi, Navi Mumbai",Delhi, 400703,India,,".Net, Java and J2EE, Perl Programming, Python Programming, Shell Scripting","
	We Vibrant Technologies & Computers provide expert training on IT related courses. We are having talented pool of software developers who train you on latest high end technologies that are getting demanded into the market from programming languages (Java, Python, PHP, ASP.NET), Data analysis (sas, R, Hadoop, MSBI, Informatica, Cognos etc. ), Databases (oracle, sql administration, SQL server, MySQL etc.). We train students on live projects. We provide placement assistance to our students. We have lowest fess."
Leap Tutorials                  ,N/A,N/A,Kharghar,"D-14, SECTOR 12, Kharghar,Navi Mumbai",Delhi, 410210,India,,"Computer, English, EVS, Mathematics, Science","
	Leap Tutorials is a special coaching classes for kids. We have faculties who are in this field for last 25 years. We give individual attention to kids so their needs are taken care of. We have a provision for group and one to one tuition also."
