Name,Phone,Website,Area,Address,City,Pincode,India,Image,Category,About
Xsel Academy And Educorp.                  ,N/A,N/A,Khamla,"52, Pioneer Society Near Agney Layout",Delhi, 440025,India,,"Law Entrance, IIT JEE Mains, Medical Entrance Exams, IBPS, MPPSC, Railways Exams, UPSC Exam","
	An institution built on ethics, driven by skills and ready to make an impact. We are simple, energetic, goal driven and result oriented. Our methodology is to build aspirations, ignite minds, shape relation, sharpen knowledge, build habits and inculcate skills. We strongly believe that ""One who aspires wisdom, attends it"". Our faculty is willing to provide rich learning experince, driven by skills for imparting knowledge, with good communication skills and excellent grasp on subjects. Our institution promotes the ideas of environment sustainability and operate within socially acceptable framework."
Innovative Science Academy                  ,N/A,N/A,Kamthi,"New Khalashi Line Kamptee, Kamthi, Nagpur, 441001",Delhi, 441001,India,,"Biology, Chemistry, Physics","
	Innovative Science Academy is located in the city of Nagpur. We cater in the field of Science. Ethnic and dynamic environment innovative curriculum with regular performance appraisal and quality education make us different from the rest."
Carta Academy                  ,N/A,N/A,Koradi Tps,"2nd Floor, Mahajan Complex, Opp. MSEB Office, Taywade College Road,
Koradi, Nagpur",Delhi, 441111,India,,"B.Sc Tuition, Bio Chemistry, Bio Technology, Biology, MicroBiology, GATE Exam","
	We offer coaching classes for entrance examinations like IIT JAM (BT/BL), JNU CEEB, IISc BS and GATE BT. We also offer nearly 40 e-books to all students whether you are enrolled with us or not. "
Online Ice Gate                  ,N/A,N/A,Dharampeth,"ICE GATE Institute,Plot No. 1, Khare Town,Behind Punit Super Bazaar,Near Chhoti Lahoree, Dharampeth,Nagpur",Delhi, 440010,India,,"AIEEE, BITSAT, GATE Exam, IIT JEE Advanced, IIT JEE Mains","
	Adaptive Assessments Practice exactly the right questions and improve faster. Question Bank Huge number of tough and tricky questions with detailed solution. Goal Based Learning Easily master every chapter and subject by completing goals. Test Series Experience real exam like environment and know where you stand at all India level. Study Material Learn from the books that are set by IITs and IISc which covers complete GATE syllabus. E-Lectures Conceptual based learning, starting from basic so as to create a strong foundation. Insightful Reports Get instant detailed and personalized feedback. Ask a Doubt Doubts solved by Experts. Post GATE Guidance Online Guidance after getting a GATE score and GD/PI sessions."
Master's Statistics Academy                  ,N/A,N/A,Gandhi Nagar,"Opp. Vnit College Gate, Behind Panchasheel Library, Gandhinagar",Delhi, 440010,India,https://www.myprivatetutor.com/userfiles/centers/center146768638916248.jpg,"B.Com Tuition, B.Sc Tuition, BA Tuition, Mathematics, Statistics","

		Small number of students in each batch. 

		Personal coaching to all students. 

		Weekly test will be taken.
"
Vijaykar Tutorials                  ,N/A,N/A,Mahal,"VIJAYKAR TUTORIALS
Beside Anand Medical Ram Cooler Sqr",Delhi, 440032,India,,"Accountancy, Chemistry, English, Mathematics, Physics","
	Vijaykar Tutorials as an academy provides quality education to the student and helps them to built them a bright future."
Krishna Consultants                  ,N/A,N/A,Parsodi,"Krishna Consultants Plot No. 10/2,
I.t. Park, Opp. V.n.i.t,",Delhi, 440022,India,https://www.myprivatetutor.com/userfiles/centers/center146158186715918.png,"GMAT, GRE, IELTS, SAT, Study in Australia, Study in Canada, Study in Dubai, Study in Europe, Study in France, Study in Germany, Study in Ireland, Study in New Zealand, Study in Singapore, Study in Switzerland, Study in UK, Study in USA, TOEFL","Krishna Consultants is an overseas education consultancy firm started in 1998. Our firm is engaged in services including coaching, counseling, admission guidance, visa assistance. Our aim is to create success stories for our students. We have over 18 years of experience in overseas education industry. We have recruited 5000+ students successfully across globe. We have 13+ years experience in coaching for GRE, GMAT, SAT, IELTS and TOEFL iBT.We have been teaching students in various countries through online training classes as well. We use modern technology to teach you online, provide best study material."
Pambright Solution Center                  ,N/A,N/A,Abhyankar Nagar,"A3, Aarya Heights, B/ H Dholya Ganapati, Ashok Stambh,",Delhi, 422013,India,,"Chemistry, Mathematics, Physics","
	Pambright Solution Center is a privately run academy of premier rank. Our faculty is experienced, dedicated and result-driven. We are the institute for school students where they will get good facility and calm studying atmosphere with a very high level of teaching. We will identify the strength and weakness of each student individually for their studies. Our method of teaching is similar to home tuition where every student get individual attention .We welcome all the parents and students who are looking for good tutoring."
Lay-tal Tabla Classes                  ,N/A,N/A,Ayodhya Nagar,"LAY - TAL TABLA CLASSES , GAJANAN NAGAR , MANEWADA - BESA ROAD , NAGPUR",Delhi, 440034,India,,Tabla,"
	Lay-Tal Tabla Classes of Music is the only international standard music academy. Learn tabla with notations, theory and musical knowledge."
Procentriq Academy                  ,N/A,N/A,Wardhaman Nagar,"1st Floor, Khandwani Arcade,
Above Patanjali Ayurved,
Ambedkar Square, Central Avenue,
Wardhaman Nagar",Delhi, 440008,India,https://www.myprivatetutor.com/userfiles/centers/center145959336115543.jpg,"Accountancy, Commerce Subjects, Economics, Mathematics","
	As an institute we are a new-age learning academy focused on developing students into intelligent and future-ready professionals. Not only do we ensure that students score great in the exams with awesome results but also that the learning is conceptual, fundamental and broad-based. What we are not just another coaching class which practices on mugging-up the course material (even practical subjects) and has no focus on or concern for the student intelligence."
